Job,Task Characteristic,Column,Value
Probation Officers and Correctional Treatment Specialists,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Real Estate Sales Agents,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Medical Assistants,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Mental Health and Substance Abuse Social Workers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Concierges,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Critical Care Nurses,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Compensation, Benefits, and Job Analysis Specialists",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
"Educational, Guidance, and Career Counselors and Advisors",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Set and Exhibit Designers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Biological Science Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Highway Maintenance Workers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Social and Community Service Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Sports Medicine Physicians,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Biologists,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Legal Secretaries and Administrative Assistants,Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
Coaches and Scouts,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Choreographers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Urban and Regional Planners,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Training and Development Specialists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Wind Energy Development Managers,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Clinical Nurse Specialists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"English Language and Literature Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Foresters,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Public Relations Specialists,Work Scheduling Autonomy,Work Activities - Mental Processes,6
"Art, Drama, and Music Teachers, Postsecondary",Work Scheduling Autonomy,Work Activities - Mental Processes,6
Water/Wastewater Engineers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Compliance Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
"Environmental Scientists and Specialists, Including Health",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Interior Designers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Fundraisers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
"Tax Examiners and Collectors, and Revenue Agents",Work Scheduling Autonomy,Work Activities - Mental Processes,6
"Farmers, Ranchers, and Other Agricultural Managers",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"First-Line Supervisors of Mechanics, Installers, and Repairers",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
General Internal Medicine Physicians,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Statistical Assistants,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Forest and Conservation Workers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Chief Executives,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Landscape Architects,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Agricultural Sciences Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
First-Line Supervisors of Police and Detectives,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Labor Relations Specialists,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Petroleum Engineers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
First-Line Supervisors of Firefighting and Prevention Workers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Kindergarten Teachers, Except Special Education",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Nurse Midwives,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Recreational Therapists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Curators,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Paralegals and Legal Assistants,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Training and Development Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Writers and Authors,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Advertising Sales Agents,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
"Fraud Examiners, Investigators and Analysts",Work Scheduling Autonomy,Work Activities - Mental Processes,6
Advanced Practice Psychiatric Nurses,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Human Resources Specialists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Child, Family, and School Social Workers",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Licensed Practical and Licensed Vocational Nurses,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Chemical Technicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Eligibility Interviewers, Government Programs",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,6
"Sociology Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Human Resources Managers,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Survey Researchers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Architectural and Engineering Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Brownfield Redevelopment Specialists and Site Managers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Advertising and Promotions Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Geneticists,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Industrial-Organizational Psychologists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Clinical Data Managers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
"Health Specialties Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Accountants and Auditors,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Hydroelectric Production Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Recreation Workers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Career/Technical Education Teachers, Postsecondary",Work Scheduling Autonomy,Work Activities - Mental Processes,6
Computer Systems Engineers/Architects,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Occupational Therapists,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Solar Sales Representatives and Assessors,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Healthcare Social Workers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Mental Health Counselors,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Phlebotomists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Claims Adjusters, Examiners, and Investigators",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Postmasters and Mail Superintendents,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Printing Press Operators,Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
Respiratory Therapists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Correspondence Clerks,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Construction Laborers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
"Psychology Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Transportation Planners,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Treasurers and Controllers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Equal Opportunity Representatives and Officers,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Government Property Inspectors and Investigators,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Business Intelligence Analysts,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Clergy,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Neurologists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Medical Scientists, Except Epidemiologists",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Aviation Inspectors,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Biochemists and Biophysicists,Work Scheduling Autonomy,Work Activities - Mental Processes,6
"Environmental Science Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
"Architects, Except Landscape and Naval",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
First-Line Supervisors of Personal Service Workers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Retail Loss Prevention Specialists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Rehabilitation Counselors,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Physical Medicine and Rehabilitation Physicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Medical and Clinical Laboratory Technologists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Merchandise Displayers and Window Trimmers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Wind Turbine Service Technicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Stone Cutters and Carvers, Manufacturing",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,6
Environmental Restoration Planners,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Automotive Engineers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Business Continuity Planners,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Allergists and Immunologists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Animal Scientists,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Police Identification and Records Officers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Art Therapists,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Network and Computer Systems Administrators,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Producers and Directors,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Transportation, Storage, and Distribution Managers",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Molecular and Cellular Biologists,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Financial Examiners,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Forest and Conservation Technicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Climate Change Policy Analysts,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Hospitalists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Maintenance and Repair Workers, General",Work Scheduling Autonomy,Work Activities - Mental Processes,6
Personal Financial Advisors,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Physician Assistants,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Recreation and Fitness Studies Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Patient Representatives,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Physics Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
First-Line Supervisors of Correctional Officers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Marriage and Family Therapists,Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
"Special Education Teachers, Preschool",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Insurance Appraisers, Auto Damage",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Dietetic Technicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Zoologists and Wildlife Biologists,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
"Geoscientists, Except Hydrologists and Geographers",Work Scheduling Autonomy,Work Activities - Mental Processes,6
"Property, Real Estate, and Community Association Managers",Work Scheduling Autonomy,Work Activities - Mental Processes,6
Supply Chain Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Loss Prevention Managers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Preventive Medicine Physicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Regulatory Affairs Specialists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Work Scheduling Autonomy,Work Activities - Mental Processes,6
"Mining and Geological Engineers, Including Mining Safety Engineers",Work Scheduling Autonomy,Work Activities - Mental Processes,6
Nurse Practitioners,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Library Science Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Purchasing Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Speech-Language Pathologists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
General and Operations Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Film and Video Editors,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Photographers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Audio and Video Technicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Database Administrators,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Family and Consumer Sciences Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Range Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Millwrights,Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
"Physicians, Pathologists",Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
Endoscopy Technicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Production, Planning, and Expediting Clerks",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Geothermal Technicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Insurance Underwriters,Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
"Career/Technical Education Teachers, Middle School",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
"Electric Motor, Power Tool, and Related Repairers",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Genetic Counselors,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
"Pump Operators, Except Wellhead Pumpers",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,6
Occupational Therapy Assistants,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Food Science Technicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Public Safety Telecommunicators,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Soil and Plant Scientists,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Fish and Game Wardens,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Aerospace Engineers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Transportation Engineers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Forestry and Conservation Science Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Obstetricians and Gynecologists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Athletic Trainers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Poets, Lyricists and Creative Writers",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Sales Engineers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Adapted Physical Education Specialists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Logistics Analysts,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Aircraft Cargo Handling Supervisors,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Graphic Designers,Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
Surveyors,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
"Makeup Artists, Theatrical and Performance",Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
Investment Fund Managers,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Order Clerks,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Civil Engineering Technologists and Technicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Industrial Truck and Tractor Operators,Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
Regulatory Affairs Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Logistics Engineers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Anthropologists and Archeologists,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Telecommunications Engineering Specialists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Civil Engineers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
"Computer Science Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Human Factors Engineers and Ergonomists,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Agricultural Engineers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Fire-Prevention and Protection Engineers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
"Engineering Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Fitness and Wellness Coordinators,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Nurse Anesthetists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Occupational Health and Safety Specialists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Radio Frequency Identification Device Specialists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Hydroelectric Plant Technicians,Work Scheduling Autonomy,Work Activities - Mental Processes,6
"Business Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
First-Line Supervisors of Construction Trades and Extraction Workers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Motorcycle Mechanics,Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
Gambling Surveillance Officers and Gambling Investigators,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Search Marketing Strategists,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,6
Fire Inspectors and Investigators,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Gambling Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Lodging Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Detectives and Criminal Investigators,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Technical Writers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Loan Interviewers and Clerks,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Loan Officers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Speech-Language Pathology Assistants,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Locksmiths and Safe Repairers,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,6
Bill and Account Collectors,Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,6
Psychiatric Technicians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Rail-Track Laying and Maintenance Equipment Operators,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Bioinformatics Scientists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Archivists,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Epidemiologists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Bioengineers and Biomedical Engineers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Law Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Video Game Designers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Fuel Cell Engineers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Microbiologists,Work Scheduling Autonomy,Work Activities - Mental Processes,6
"Special Education Teachers, Middle School",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Computer Hardware Engineers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Cost Estimators,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Financial Managers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Word Processors and Typists,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Air Traffic Controllers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Stationary Engineers and Boiler Operators,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Web Developers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Materials Engineers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Materials Scientists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Airfield Operations Specialists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Agricultural Inspectors,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Desktop Publishers,Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
Hoist and Winch Operators,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Surgical Assistants,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Dietitians and Nutritionists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Dental Assistants,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Freight Forwarders,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Segmental Pavers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Forest Fire Inspectors and Prevention Specialists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Environmental Engineers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
"Foreign Language and Literature Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Sustainability Specialists,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Biostatisticians,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Midwives,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Robotics Engineers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Explosives Workers, Ordnance Handling Experts, and Blasters",Work Scheduling Autonomy,Work Activities - Mental Processes,6
